,nmin,minleaf,ntrees,nfeats,avg_accuracy
407,5,2,10,8,0.6843508771929824
408,5,2,10,9,0.6816842105263158
409,5,2,10,10,0.7163157894736842
410,5,2,20,1,0.6791578947368422
411,5,2,20,2,0.7004210526315788
412,5,2,20,3,0.6630175438596491
413,5,2,20,4,0.6870877192982456
414,5,2,20,5,0.6764561403508772
415,5,2,20,6,0.7242807017543861
416,5,2,20,7,0.7003157894736842
417,5,2,20,8,0.6925263157894737
418,5,2,20,9,0.7002105263157894
419,5,2,20,10,0.7268070175438597
420,5,2,30,1,0.6899298245614034
421,5,2,30,2,0.7057894736842105
422,5,2,30,3,0.6950526315789474
423,5,2,30,4,0.7082105263157895
424,5,2,30,5,0.753578947368421
425,5,2,30,6,0.7242105263157895
426,5,2,30,7,0.7188070175438596
427,5,2,30,8,0.7188771929824561
428,5,2,30,9,0.7108421052631579
429,5,2,30,10,0.7454035087719297
430,5,2,40,1,0.6738947368421052
431,5,2,40,2,0.6870877192982455
432,5,2,40,3,0.7216491228070175
433,5,2,40,4,0.6897192982456141
434,5,2,40,5,0.7456140350877194
435,5,2,40,6,0.7082105263157895
436,5,2,40,7,0.7188070175438597
437,5,2,40,8,0.7347719298245614
438,5,2,40,9,0.7455087719298245
439,5,2,40,10,0.7482105263157895
440,5,2,50,1,0.7056491228070176
441,5,2,50,2,0.7189473684210527
442,5,2,50,3,0.7136491228070175
443,5,2,50,4,0.7402105263157895
444,5,2,50,5,0.7082456140350877
445,5,2,50,6,0.7375438596491228
446,5,2,50,7,0.7002105263157896
447,5,2,50,8,0.7056140350877194
448,5,2,50,9,0.7241754385964911
449,5,2,50,10,0.7055438596491228
450,5,2,100,1,0.729578947368421
451,5,2,100,2,0.7455087719298246
452,5,2,100,3,0.7241754385964911
453,5,2,100,4,0.726842105263158
454,5,2,100,5,0.7295789473684211
455,5,2,100,6,0.7136140350877194
456,5,2,100,7,0.7322456140350877
457,5,2,100,8,0.7322807017543861
458,5,2,100,9,0.7374736842105263
459,5,2,100,10,0.7454385964912281
460,5,2,150,1,0.7189824561403508
461,5,2,150,2,0.7163157894736842
462,5,2,150,3,0.716280701754386
463,5,2,150,4,0.7215087719298245
464,5,2,150,5,0.7482105263157894
465,5,2,150,6,0.724140350877193
466,5,2,150,7,0.7269122807017544
467,5,2,150,8,0.7480701754385966
468,5,2,150,9,0.7348070175438597
469,5,2,150,10,0.7322105263157895
470,5,2,200,1,0.7242456140350877
471,5,2,200,2,0.7136491228070175
472,5,2,200,3,0.7269473684210526
473,5,2,200,4,0.7269473684210527
474,5,2,200,5,0.7374736842105263
475,5,2,200,6,0.7295438596491228
476,5,2,200,7,0.7454385964912282
477,5,2,200,8,0.7135789473684211
478,5,2,200,9,0.7401052631578947
479,5,2,200,10,0.7347719298245614
480,6,1,10,1,0.6447368421052632
481,6,1,10,2,0.6978245614035088
482,6,1,10,3,0.713578947368421
483,6,1,10,4,0.7081754385964911
484,6,1,10,5,0.6896491228070175
485,6,1,10,6,0.6951929824561404
486,6,1,10,7,0.6683859649122806
487,6,1,10,8,0.6844561403508772
488,6,1,10,9,0.7003859649122808
489,6,1,10,10,0.7297543859649124
490,6,1,20,1,0.7083157894736842
491,6,1,20,2,0.6737894736842105
492,6,1,20,3,0.7002105263157895
493,6,1,20,4,0.6764210526315788
494,6,1,20,5,0.732140350877193
495,6,1,20,6,0.6896140350877193
496,6,1,20,7,0.6976491228070176
497,6,1,20,8,0.6975438596491228
498,6,1,20,9,0.7376140350877194
499,6,1,20,10,0.7002807017543861
500,6,1,30,1,0.6711228070175439
501,6,1,30,2,0.7082456140350877
502,6,1,30,3,0.7189122807017545
503,6,1,30,4,0.6711578947368422
504,6,1,30,5,0.7136842105263157
505,6,1,30,6,0.6896842105263159
506,6,1,30,7,0.7320701754385964
507,6,1,30,8,0.7055087719298245
508,6,1,30,9,0.6923508771929824
509,6,1,30,10,0.7162105263157895
510,6,1,40,1,0.6844210526315788
511,6,1,40,2,0.7110526315789474
512,6,1,40,3,0.7135087719298245
513,6,1,40,4,0.7376140350877194
514,6,1,40,5,0.7348771929824561
515,6,1,40,6,0.6976140350877194
516,6,1,40,7,0.7082456140350878
517,6,1,40,8,0.7028421052631579
518,6,1,40,9,0.7215438596491228
519,6,1,40,10,0.7214736842105263
520,6,1,50,1,0.6978245614035087
521,6,1,50,2,0.6896842105263158
522,6,1,50,3,0.726842105263158
523,6,1,50,4,0.713438596491228
524,6,1,50,5,0.7162807017543861
525,6,1,50,6,0.700280701754386
526,6,1,50,7,0.7455789473684211
527,6,1,50,8,0.7349122807017544
528,6,1,50,9,0.7189824561403508
529,6,1,50,10,0.7189122807017544
530,6,1,100,1,0.7031228070175439
531,6,1,100,2,0.6976842105263158
532,6,1,100,3,0.7455438596491228
533,6,1,100,4,0.726842105263158
534,6,1,100,5,0.7135438596491228
535,6,1,100,6,0.7428070175438597
536,6,1,100,7,0.732140350877193
537,6,1,100,8,0.7322807017543861
538,6,1,100,9,0.724140350877193
539,6,1,100,10,0.7242105263157895
540,6,1,150,1,0.729719298245614
541,6,1,150,2,0.7348421052631579
542,6,1,150,3,0.7269122807017544
543,6,1,150,4,0.7268771929824561
544,6,1,150,5,0.7242456140350877
545,6,1,150,6,0.7082807017543861
546,6,1,150,7,0.7268070175438597
547,6,1,150,8,0.7401754385964913
548,6,1,150,9,0.7480350877192983
549,6,1,150,10,0.7322456140350878
550,6,1,200,1,0.7110175438596491
551,6,1,200,2,0.7269473684210526
552,6,1,200,3,0.7189122807017544
553,6,1,200,4,0.7374385964912281
554,6,1,200,5,0.7162105263157895
